"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 11:52:48 GMT 2024","Wed Sep 18 11:52:51 GMT 2024","2257","Megogo test Suite","API tests","com.megogo.api.test.TimeApiTest","com.megogo.api.test.TimeApiTest","currentTimeTest","currentTimeTest","Validate time endpoint returns correct data"
"passed","Wed Sep 18 11:52:48 GMT 2024","Wed Sep 18 11:52:52 GMT 2024","3762","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:52:48 GMT 2024","Wed Sep 18 11:52:52 GMT 2024","3762","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:52:48 GMT 2024","Wed Sep 18 11:52:52 GMT 2024","3763","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
