"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 13:53:19 GMT 2024","Mon Sep 16 13:53:22 GMT 2024","3385","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Mon Sep 16 13:53:19 GMT 2024","Mon Sep 16 13:53:22 GMT 2024","3284","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Mon Sep 16 13:53:19 GMT 2024","Mon Sep 16 13:53:20 GMT 2024","1927","Megogo test Suite","API tests","com.megogo.api.test.TimeApiTest","com.megogo.api.test.TimeApiTest","currentTimeTest","currentTimeTest","Validate time endpoint returns correct data"
"passed","Mon Sep 16 13:53:19 GMT 2024","Mon Sep 16 13:53:22 GMT 2024","3282","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
