"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 13:00:21 GMT 2024","Mon Sep 16 13:00:26 GMT 2024","5137","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"failed","Mon Sep 16 13:00:21 GMT 2024","Mon Sep 16 13:00:25 GMT 2024","3791","Megogo test Suite","API tests","com.megogo.api.test.TimeApiTest","com.megogo.api.test.TimeApiTest","currentTimeTest","currentTimeTest","Validate time endpoint returns correct data"
"passed","Mon Sep 16 13:00:21 GMT 2024","Mon Sep 16 13:00:26 GMT 2024","5242","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Mon Sep 16 13:00:21 GMT 2024","Mon Sep 16 13:00:26 GMT 2024","5242","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
