"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 11:49:43 GMT 2024","Wed Sep 18 11:49:44 GMT 2024","1624","Megogo test Suite","API tests","com.megogo.api.test.TimeApiTest","com.megogo.api.test.TimeApiTest","currentTimeTest","currentTimeTest","Validate time endpoint returns correct data"
"passed","Wed Sep 18 11:49:43 GMT 2024","Wed Sep 18 11:49:46 GMT 2024","3222","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:49:43 GMT 2024","Wed Sep 18 11:49:46 GMT 2024","3224","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:49:43 GMT 2024","Wed Sep 18 11:49:46 GMT 2024","3228","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
