"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 11:59:04 GMT 2024","Wed Sep 18 11:59:07 GMT 2024","3004","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:59:04 GMT 2024","Wed Sep 18 11:59:07 GMT 2024","3018","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
"passed","Wed Sep 18 11:59:04 GMT 2024","Wed Sep 18 11:59:06 GMT 2024","1631","Megogo test Suite","API tests","com.megogo.api.test.TimeApiTest","com.megogo.api.test.TimeApiTest","currentTimeTest","currentTimeTest","Validate time endpoint returns correct data"
"passed","Wed Sep 18 11:59:04 GMT 2024","Wed Sep 18 11:59:07 GMT 2024","3004","Megogo test Suite","API tests","com.megogo.api.test.ScheduleApiTest","com.megogo.api.test.ScheduleApiTest","scheduleTest","scheduleTest","Validate time endpoint"
